OrderID,OrderDate,OrderQuantity,Sales,Discount,Profit,UnitPrice,ShippingCost,CustomerSegment,ProductBaseMargin,ShipDate,OrderUrgent,Shipping,Cusme,Province,Region,ProCategory,ProSubCate,ProPacking,Customer_ID,ProductID
6980,1/23/2015,18,136.29,0.05,-77.28,7.3,7.72,Consumer,0.38,1/24/2015,NotSpecified,Train,623,Bangkok,Bangkok,Office,Binder,SmallBox,C623 ,P161 
6982,10/20/2016,32,1311.25,0,407.44,39.48,1.99,Corporate,0.54,10/22/2016,NotSpecified,Air,240,Bangkok,Bangkok,IT,Computer Accessories,SmallPack,C240 ,P064 
6982,10/20/2016,5,544.41,0.09,-338.27,100.98,57.38,Corporate,0.78,10/22/2016,NotSpecified,Truck,240,Bangkok,Bangkok,Home,Case,SuperBig,C240 ,P306 
6982,10/20/2016,41,844.09,0.04,52.56,19.98,10.49,Corporate,0.49,10/22/2016,NotSpecified,Train,240,Bangkok,Bangkok,Home,Furniture,SmallBox,C240 ,P015 
7110,7/11/2016,22,6396.2,0.02,1902.24,276.2,24.49,Corporate,,7/15/2016,Slow,Train,310,Bangkok,Bangkok,Home,Chair,Box,C310 ,P905 
7430,5/13/2015,50,751.77,0.05,353.2,15.67,1.39,Corporate,0.38,5/14/2015,Medium,Train,72,Bangkok,Bangkok,Office,Envelopes,SmallBox,C072 ,P003 
7906,9/21/2014,37,1003.06,0.03,271.78,25.98,5.37,Consumer,0.5,9/21/2014,Medium,Train,87,Bangkok,Bangkok,Office,Equipment,MediumPack,C087 ,P037 
8391,8/1/2016,4,1266.72,0.04,-268.36,300.98,64.73,Corporate,0.56,8/2/2016,Fast,Truck,733,Bangkok,Bangkok,Home,Chair,BigPack,C733 ,P563 
8419,9/2/2016,19,368.04,0.07,70.39,19.98,5.97,Small Business,0.38,9/4/2016,SuperFast,Air,576,Bangkok,Bangkok,Office,Paper,SmallBox,C576 ,P1172 
8419,9/2/2016,24,152.6,0.1,-86.62,6.48,7.03,Small Business,0.37,9/3/2016,SuperFast,Train,576,Bangkok,Bangkok,Office,Paper,SmallBox,C576 ,P1234 
8833,4/8/2017,40,3338.98,0,-846.73,80.98,35,Small Business,0.81,4/12/2017,Slow,Train,576,Bangkok,Bangkok,Office,PowerSupply,Box,C576 ,P332 
8995,4/20/2016,5,24.16,0.08,8.05,1.88,1.49,Consumer,0.37,4/21/2016,Fast,Air,87,Bangkok,Bangkok,Office,Binder,SmallBox,C087 ,P999 
8995,4/20/2016,41,270.84,0.1,-78.02,6.48,5.86,Consumer,0.36,4/21/2016,Fast,Air,87,Chonburi,East,Office,Paper,SmallBox,C087 ,P1148 
8995,4/20/2016,35,3389.93,0.08,737.94,102.3,21.26,Consumer,0.59,4/21/2016,Fast,Air,87,Chonburi,East,Home,Furniture,Box,C087 ,P729 
8995,4/20/2016,42,266.36,0.07,-191.28,6.48,8.19,Consumer,0.37,4/21/2016,Fast,Train,87,Chonburi,East,Office,Paper,SmallBox,C087 ,P1237 
8995,4/20/2016,46,89.41,0.01,-21.49,1.89,0.76,Consumer,0.83,4/22/2016,Fast,Train,87,Chonburi,East,Office,RubberPro,Bag,C087 ,P893 
9126,10/22/2014,47,2799.7,0.04,884.08,62.05,3.99,Corporate,0.55,10/23/2014,Medium,Train,733,Chonburi,East,Office,Equipment,SmallBox,C733 ,P120 
9127,9/13/2016,7,2039.56,0.04,-329.49,279.48,35,Corporate,0.8,9/15/2016,NotSpecified,Air,119,Chonburi,East,Office,PowerSupply,Box,C119 ,P1057 
9509,9/11/2017,36,12175.82,0.02,2825.15,320.98,58.95,Home Office,0.57,9/12/2017,NotSpecified,Truck,403,Chonburi,East,Home,Chair,BigPack,C403 ,P608 
9509,9/11/2017,5,101.21,0.1,2.13,18.97,5.21,Home Office,0.37,9/12/2017,NotSpecified,Air,403,Chonburi,East,Office,Paper,SmallBox,C403 ,P1134 
9509,9/11/2017,32,1585.64,0.02,707.15,48.91,5.81,Home Office,0.38,9/11/2017,NotSpecified,Train,403,Chonburi,East,Office,Paper,SmallBox,C403 ,P1136 
9763,7/17/2016,44,176.26,0.07,75.13,4.13,0.5,Corporate,0.39,7/20/2016,Medium,Train,11,Chonburi,East,Office,Poster,SmallBox,C011 ,P194 
9927,7/20/2016,32,4655.07,0,-270.63,140.98,53.48,Corporate,0.65,7/21/2016,Fast,Truck,310,Chonburi,East,Home,Case,SuperBig,C310 ,P304 
9927,7/20/2016,44,10087.6,0.01,3387.35,218.08,18.06,Corporate,0.57,7/21/2016,Fast,Train,310,Chonburi,East,Home,Chair,Box,C310 ,P717 
9927,7/20/2016,34,1608.08,0.09,-82.16,50.98,6.5,Corporate,0.73,7/21/2016,Fast,Air,310,Chonburi,East,IT,Computer Accessories,SmallBox,C310 ,P765 
10022,2/6/2014,1,12.18,0.06,-3.88,10.14,2.27,Small Business,0.36,2/6/2014,Slow,Train,222,Chonburi,East,Office,Paper,Bag,C222 ,P998 
10437,7/23/2014,50,820.52,0.01,-191.22,15.99,13.18,Corporate,0.37,7/25/2014,SuperFast,Train,235,Chonburi,East,Office,Binder,SmallBox,C235 ,P529 
10499,10/21/2015,29,6250.936,0.01,31.21,262.11,62.74,Corporate,0.75,10/22/2015,NotSpecified,Truck,242,Chonburi,East,Home,Table,SuperBig,C242 ,P262 
10535,4/30/2016,25,854.88,0.09,-44.14,33.98,19.99,Corporate,0.55,5/2/2016,Slow,Train,242,Chonburi,East,Home,Furniture,SmallBox,C242 ,P718 
10535,4/30/2016,46,80.27,0.09,-0.79,1.76,0.7,Corporate,0.56,5/7/2016,Slow,Train,242,Chonburi,East,Office,Supplies,Bag,C242 ,P785 
10789,7/28/2015,15,308.54,0,76.42,19.84,4.1,Corporate,0.44,7/29/2015,NotSpecified,Air,350,Chonburi,East,Office,Supplies,Bag,C350 ,P875 
10791,7/23/2016,20,400.57,0.05,93.36,19.98,5.77,Small Business,0.38,7/25/2016,NotSpecified,Train,53,Chonburi,East,Office,Paper,SmallBox,C053 ,P1248 
10945,12/7/2016,14,1170.025,0.04,4.22,95.99,8.99,Consumer,0.57,12/9/2016,Medium,Train,623,Chonburi,East,IT,Communication,SmallBox,C623 ,P050 
11137,11/3/2017,48,5188.86,0.1,395.12,111.03,8.64,Small Business,0.78,11/4/2017,Fast,Train,27,Chonburi,East,Office,PowerSupply,SmallBox,C027 ,P493 
11202,2/19/2017,8,339.81,0.05,79.59,43.41,2.99,Corporate,0.39,2/20/2017,Medium,Train,72,Chonburi,East,Office,Binder,SmallBox,C072 ,P929 
11456,3/17/2015,15,1519.9,0.09,399.37,105.34,24.49,Corporate,0.61,3/24/2015,Slow,Train,242,Chonburi,East,Home,Furniture,Box,C242 ,P381 
11460,7/29/2015,30,102.24,0.09,37.79,3.69,0.5,Home Office,0.38,7/31/2015,Fast,Train,126,Chonburi,East,Office,Poster,SmallBox,C126 ,P182 
11495,6/7/2016,6,965.69,0,-144.2,146.34,43.75,Corporate,0.65,6/8/2016,Fast,Truck,105,Chonburi,East,Home,Table,SuperBig,C105 ,P266 
11911,10/15/2015,25,397.84,0,-14.75,15.22,9.73,Consumer,0.36,10/17/2015,SuperFast,Train,252,Chonburi,East,Office,Binder,SmallBox,C252 ,P540 
11941,5/29/2015,4,73.07,0.08,-41.01,15.7,11.25,Corporate,0.6,5/30/2015,SuperFast,Train,350,Chonburi,East,Office,PowerSupply,SmallBox,C350 ,P577 
11941,5/29/2015,26,4679.1,0.05,111.52,179.29,29.21,Corporate,0.74,5/30/2015,SuperFast,Truck,350,Chonburi,East,Home,Table,SuperBig,C350 ,P267 
12096,8/24/2017,46,8009.5925,0.02,2332.4,200.99,8.08,Home Office,0.59,8/24/2017,Medium,Train,538,Chonburi,East,IT,Communication,SmallBox,C538 ,P042 
12096,8/24/2017,23,4689.66,0.01,2176.19,194.3,11.54,Home Office,0.59,8/26/2017,Medium,Train,538,Chonburi,East,Home,Furniture,Box,C538 ,P443 
12289,11/27/2016,25,3019.41,0.04,1269.05,120.97,7.11,Corporate,0.36,12/1/2016,Slow,Train,105,Chonburi,East,IT,Machine,MediumPack,C105 ,P313 
12352,2/25/2017,5,36.86,0.07,-32.82,5.81,8.49,Corporate,0.39,2/26/2017,Medium,Train,338,Chonburi,East,Office,Binder,SmallBox,C338 ,P479 
12419,9/18/2016,12,22079.47,0.06,5322.14,1938.02,13.99,Corporate,0.38,9/20/2016,SuperFast,Train,733,Chonburi,East,IT,Machine,MediumPack,C733 ,P860 
12485,7/12/2015,24,5407.31,0.04,1068.48,226.67,28.16,Home Office,0.59,7/13/2015,SuperFast,Truck,275,Chonburi,East,Home,Chair,BigPack,C275 ,P617 
12544,2/5/2014,34,74.3,0.08,-129.01,2.08,5.33,Corporate,0.43,2/12/2014,Slow,Train,381,Chonburi,East,Home,Furniture,SmallBox,C381 ,P439 
12704,1/14/2015,44,21506.77,0.06,1260.51,499.99,24.49,Small Business,0.36,1/14/2015,Slow,Train,131,Chonburi,East,IT,Printer,Box,C131 ,P947 
12704,1/14/2015,28,669.02,0.02,-1274.02,20.98,53.03,Small Business,0.78,1/16/2015,Slow,Truck,131,Chonburi,East,Office,PowerSupply,BigPack,C131 ,P1054 
12771,12/22/2013,40,1143.49,0.08,-193.44,30.53,19.99,Small Business,0.39,12/22/2013,SuperFast,Train,131,Chonburi,East,Office,Poster,SmallBox,C131 ,P173 
12771,12/22/2013,46,78.08,0.01,-43.1,1.68,1.57,Small Business,0.59,12/24/2013,SuperFast,Train,131,Chonburi,East,Office,Supplies,Bag,C131 ,P783 
12929,8/4/2015,19,5297.47,0.02,-158.93,270.98,50,Corporate,0.77,8/5/2015,SuperFast,Truck,381,Chonburi,East,Home,Chair,BigPack,C381 ,P555 
12929,8/4/2015,20,95.3,0,29.68,4.48,1.22,Corporate,0.36,8/5/2015,SuperFast,Train,381,Chonburi,East,Office,Paper,Bag,C381 ,P968 
13280,8/16/2014,40,460.68,0.01,-116.76,10.9,7.46,Small Business,0.59,8/17/2014,Fast,Train,310,Chonburi,East,Office,PowerSupply,SmallBox,C310 ,P351 
13280,8/16/2014,49,318.7585,0.1,-160.95,7.99,5.03,Small Business,0.6,8/17/2014,Fast,Train,310,Chonburi,East,IT,Communication,MediumPack,C310 ,P259 
13313,6/20/2014,47,1020.61,0.04,-209.61,21.66,13.99,Home Office,0.52,6/21/2014,NotSpecified,Train,706,Chonburi,East,Office,Equipment,MediumPack,C706 ,P594 
13346,10/20/2017,44,268.34,0.09,-240.83,6.48,8.88,Corporate,0.37,10/25/2017,Slow,Train,242,Chonburi,East,Office,Paper,SmallBox,C242 ,P1241 
13702,8/14/2016,6,209,0.08,12.32,35.44,7.5,Small Business,0.38,8/18/2016,Slow,Train,310,Chonburi,East,Office,Paper,SmallBox,C310 ,P1150 
13795,3/14/2016,30,501.32,0.04,-119.08,15.99,13.18,Small Business,0.37,3/17/2016,NotSpecified,Train,554,Chonburi,East,Office,Binder,SmallBox,C554 ,P529 
13795,3/14/2016,23,275.16,0.05,43.35,11.34,5.01,Small Business,0.36,3/17/2016,NotSpecified,Air,554,Chonburi,East,Office,Paper,SmallBox,C554 ,P1128 
13795,3/14/2016,37,1302.99,0.02,545.49,35.44,5.09,Small Business,0.38,3/15/2016,NotSpecified,Train,554,Chonburi,East,Office,Paper,SmallBox,C554 ,P1168 
14116,9/12/2016,1,40.1,0.09,-16.07,30.98,11.63,Small Business,0.37,9/14/2016,Fast,Train,242,Chonburi,East,Office,Binder,SmallBox,C242 ,P526 
14116,9/12/2016,42,1414.05,0.09,161.48,34.54,14.72,Small Business,0.37,9/13/2016,Fast,Train,242,Chonburi,East,Office,Binder,SmallBox,C242 ,P534 
14372,9/27/2017,34,5350.61,0.09,-1059.2,170.98,60.49,Corporate,0.69,9/29/2017,SuperFast,Truck,88,Chonburi,East,Home,Case,SuperBig,C088 ,P933 
14726,12/12/2016,15,310.87,0.07,-21.48,20.95,4,Consumer,0.6,12/12/2016,Slow,Train,623,Chonburi,East,IT,Computer Accessories,SmallBox,C623 ,P477 
14819,12/30/2014,48,9062.73,0.09,3122.78,207.48,0.99,Home Office,0.55,1/1/2015,NotSpecified,Train,126,Chonburi,East,Office,Equipment,SmallBox,C126 ,P696 
14819,12/30/2014,27,1584.1,0.07,-478.22,58.14,36.61,Home Office,0.61,12/31/2014,NotSpecified,Truck,126,Chonburi,East,Home,Case,SuperBig,C126 ,P811 
15106,1/1/2016,42,283.58,0.03,-14.23,6.64,4.95,Home Office,0.37,1/3/2016,NotSpecified,Train,238,Chonburi,East,Home,Furniture,SmallPack,C238 ,P513 
15106,1/1/2016,39,5403.37,0.06,948.79,145.45,17.85,Home Office,0.56,1/1/2016,NotSpecified,Truck,238,Chonburi,East,IT,Machine,BigPack,C238 ,P843 
15106,1/1/2016,35,82.15,0.03,-6.33,2.21,1.12,Home Office,0.58,1/3/2016,NotSpecified,Train,238,Chonburi,East,Office,Supplies,Bag,C238 ,P786 
15108,8/1/2014,50,2066.16,0.02,372.36,40.99,17.48,Small Business,0.36,8/3/2014,Fast,Train,222,Chonburi,East,Office,Paper,SmallBox,C222 ,P1138 
15205,2/19/2016,18,4605.36,0.02,678.26,243.98,43.32,Corporate,0.55,2/21/2016,SuperFast,Truck,408,Chonburi,East,Home,Chair,BigPack,C408 ,P615 
15205,2/19/2016,42,1753.51,0.02,155.72,39.98,9.2,Corporate,0.65,2/20/2016,SuperFast,Train,408,Chonburi,East,Home,Furniture,Bag,C408 ,P423 
15591,5/11/2017,31,426.34,0,73.53,12.58,5.16,Small Business,0.43,5/13/2017,SuperFast,Train,98,Chonburi,East,Home,Furniture,SmallBox,C098 ,P357 
15907,3/15/2016,36,1837.44,0.01,-1414.41,48.58,54.11,Home Office,0.69,3/17/2016,Fast,Truck,749,Chonburi,East,Home,Case,SuperBig,C749 ,P810 
15907,3/15/2016,36,3722.29,0.04,950.68,105.98,13.99,Home Office,0.65,3/18/2016,Fast,Air,749,Chonburi,East,Home,Furniture,MediumPack,C749 ,P1041 
15907,3/15/2016,4,28.05,0.09,-5.41,7.04,2.17,Home Office,0.38,3/16/2016,Fast,Train,749,Chonburi,East,Office,Paper,Bag,C749 ,P1121 
15937,10/11/2017,32,311.44,0.04,74.07,9.78,1.99,Corporate,0.43,10/15/2017,Slow,Train,552,Chonburi,East,IT,Computer Accessories,SmallPack,C552 ,P754 
15937,10/11/2017,17,215.65,0.01,77.38,12.22,2.85,Corporate,0.55,10/20/2017,Slow,Air,552,Chonburi,East,Home,Furniture,SmallPack,C552 ,P156 
16039,4/20/2017,3,121.12,0.1,-118.82,43.98,1.99,Home Office,0.44,4/21/2017,Fast,Train,538,Chonburi,East,IT,Computer Accessories,SmallPack,C538 ,P752 
16193,3/14/2017,8,300.2,0,6.41,34.76,8.22,Corporate,0.57,3/16/2017,NotSpecified,Train,289,Chonburi,East,Office,PowerSupply,SmallBox,C289 ,P769 
16193,3/14/2017,29,1364.8025,0.07,-183.68,55.99,5,Corporate,0.83,3/16/2017,NotSpecified,Train,289,Chonburi,East,IT,Communication,SmallPack,C289 ,P096 
